"","Source_Name","ASSOC_FGL","Signif","PL_Flux_Density","LP_Flux_Density","PLEC_Flux_Density","RA","DEC","GLON","GLAT","ASSOC1","CLASS1","ASSOC2","CLASS2","Flags","FGL3_Source_name","BLR_P_PLEC","BLR_Pred_PLEC","BLR_P_LP","BLR_Pred_LP","RF_P_LP","RF_Pred_LP","PSR_Out","AGN_Out","XGB_P_PLEC","XGB_Pred_PLEC","XGB_P_LP","XGB_Pred_LP","ANN_Pred_LP","ANN_P_LP.1","ANN_P_LP.2","ANN_Pred_PLEC","ANN_P_PLEC.1","ANN_P_PLEC.2"
"2544","1331.7-0647","                  ",  5.318,"1.56e-14","2.18e-14","1.91e-14","202.945"," -6.7948","320.444"," 5.5e+01","NVSS J133146-064632         ","bcu","                              ","",   0,"",0.004,"AGN",0.028,"AGN",0.000,"AGN",  3954.087,  -0.106,0.0015374472,"AGN",0.975995004,"PSR","AGN",7.395125e-01,2.604875e-01,"AGN",9.553657e-01,4.463432e-02
"2545","1332.0-0509","3FGL J1332.0-0508 ", 56.169,"1.65e-11","1.92e-11","1.87e-11","203.020"," -5.1611","321.366"," 5.6e+01","PKS 1329-049                ","fsrq","                              ","",   0,"1332.0-0508",0.175,"PSR",0.052,"AGN",0.064,"AGN",  5335.686,   8.274,0.0065325308,"AGN",0.078453116,"AGN","PSR",2.849207e-01,7.150793e-01,"AGN",6.423142e-01,3.576858e-01
"2546","1332.2+4722","3FGL J1331.8+4718 ",  7.534,"5.39e-13","6.42e-13","6.12e-13","203.059"," 47.3728","104.064"," 6.8e+01","B3 1330+476                 ","fsrq","                              ","",   0,"1331.8+4718",0.005,"AGN",0.001,"AGN",0.004,"AGN",   934.441,   0.923,0.0011487434,"AGN",0.376819015,"AGN","AGN",9.999611e-01,3.885260e-05,"AGN",9.999992e-01,8.115038e-07
"2547","1332.6-1256","3FGL J1332.6-1256 ", 44.008,"4.07e-12","4.58e-12","4.46e-12","203.154","-12.9436","318.234"," 4.9e+01","PMN J1332-1256              ","fsrq","                              ","",   0,"1332.6-1256",0.025,"AGN",0.012,"AGN",0.004,"AGN", 12278.982,   2.587,0.0008279892,"AGN",0.011558983,"AGN","PSR",2.849207e-01,7.150793e-01,"AGN",9.587197e-01,4.128035e-02
"2548","1333.0-6626","                  ",  4.946,"4.31e-13","6.35e-13","6.11e-13","203.265","-66.4387","307.082","-3.9e+00","AT20G J133254-662826        ","bcu","                              ","",   8,"",0.102,"PSR",0.052,"AGN",0.142,"AGN",   969.165,  14.838,0.0042906418,"AGN",0.496660978,"AGN","PSR",2.849207e-01,7.150793e-01,"AGN",5.614491e-01,4.385509e-01
"2549","1333.2+2725","3FGL J1332.8+2723 ", 17.292,"7.92e-13","8.18e-13","8.11e-13","203.323"," 27.4221"," 37.139"," 8.1e+01","MG2 J133305+2725            ","fsrq","                              ","",   0,"1332.8+2723",0.000,"AGN",0.000,"AGN",0.000,"AGN",  4317.159,  -0.695,0.0005406286,"AGN",0.053722691,"AGN","AGN",9.999721e-01,2.789770e-05,"AGN",9.999909e-01,9.092086e-06
"2550","1333.7+5056","3FGL J1333.7+5057 ", 26.240,"8.83e-13","9.47e-13","9.26e-13","203.439"," 50.9366","107.120"," 6.5e+01","CLASS J1333+5057            ","fsrq","                              ","",   0,"1333.7+5057",0.001,"AGN",0.000,"AGN",0.000,"AGN",  4748.276,  -0.627,0.0005353431,"AGN",0.034099419,"AGN","AGN",9.993675e-01,6.324611e-04,"AGN",9.998602e-01,1.397746e-04
"2551","1334.1-4154","3FGL J1334.3-4152 ",  6.102,"3.56e-13","3.01e-13","3.51e-13","203.548","-41.9151","311.391"," 2.0e+01","                            ","","                              ","",   0,"1334.3-4152",0.026,"AGN",0.005,"AGN",0.072,"AGN",  5265.160,   3.701,0.0088212434,"AGN",0.445174754,"AGN","AGN",9.189591e-01,8.104084e-02,"AGN",9.986160e-01,1.384045e-03
"2552","1334.1-3521","                  ",  5.013,"2.43e-15","2.37e-15","2.26e-15","203.550","-35.3540","312.682"," 2.7e+01","2MASS J13342051-3521131     ","bcu","                              ","",   0,"",0.004,"AGN",0.004,"AGN",0.002,"AGN",  8454.044,   0.224,0.0006866271,"AGN",0.295900136,"AGN","AGN",9.999417e-01,5.831640e-05,"AGN",9.968446e-01,3.155376e-03
"2553","1334.6-4435","                  ",  5.730,"3.61e-13","4.10e-13","3.75e-13","203.652","-44.5939","310.973"," 1.8e+01","                            ","","                              ","",   2,"",0.010,"AGN",0.020,"AGN",0.042,"AGN",  4001.293,   1.811,0.0048892368,"AGN",0.927366138,"PSR","AGN",9.959081e-01,4.091851e-03,"AGN",9.999832e-01,1.680732e-05
"2554","1334.8-3856","                  ",  4.768,"5.45e-12","4.87e-12","5.42e-12","203.702","-38.9411","312.089"," 2.3e+01","                            ","","CRATES J133519-391146         ","agn", 258,"",0.007,"AGN",0.005,"AGN",0.030,"AGN",  1014.001,   6.179,0.0032986449,"AGN",0.432835847,"AGN","PSR",2.849207e-01,7.150793e-01,"AGN",9.182044e-01,8.179559e-02
"2555","1335.0-5656","3FGL J1335.1-5655 ", 16.659,"3.52e-13","5.18e-13","4.99e-13","203.768","-56.9471","308.883"," 5.4e+00","                            ","","                              ","",   0,"1335.1-5655",0.947,"PSR",0.934,"PSR",0.970,"PSR",     1.028, 594.396,0.9981814623,"PSR",0.985502243,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"2556","1335.3-2949","3FGL J1335.4-2949 ", 10.305,"5.37e-14","5.78e-14","5.70e-14","203.848","-29.8295","314.185"," 3.2e+01","1ES 1332-295                ","bll","                              ","",   0,"1335.4-2949",0.001,"AGN",0.000,"AGN",0.000,"AGN",  9768.274,  -0.799,0.0005540330,"AGN",0.895204127,"PSR","AGN",9.999077e-01,9.225031e-05,"AGN",9.999851e-01,1.494586e-05
"2557","1335.5-4546","                  ",  5.768,"1.98e-13","2.63e-13","2.51e-13","203.882","-45.7727","310.924"," 1.6e+01","                            ","","                              ","",   0,"",0.144,"PSR",0.205,"PSR",0.074,"AGN",   608.693,  17.347,0.0067851036,"AGN",0.968584597,"PSR","PSR",2.849207e-01,7.150793e-01,"AGN",7.521448e-01,2.478552e-01
"2558","1335.6-4052","3FGL J1335.2-4056 ",  4.260,"5.68e-15","4.54e-15","5.67e-15","203.922","-40.8688","311.888"," 2.1e+01","                            ","","                              ","",   0,"1335.2-4056",0.004,"AGN",0.002,"AGN",0.010,"AGN",  5244.771,  -0.469,0.0004882651,"AGN",0.208707273,"AGN","AGN",9.999940e-01,5.991278e-06,"AGN",1.000000e+00,4.266655e-12
"2559","1336.2+2320","                  ",  8.180,"2.19e-14","2.80e-14","2.71e-14","204.051"," 23.3349"," 14.847"," 7.9e+01","2MASS J13361219+2319581     ","bll","                              ","",   0,"",0.001,"AGN",0.006,"AGN",0.002,"AGN",  4466.975,  -0.305,0.0016474106,"AGN",0.934194326,"PSR","AGN",9.994628e-01,5.372462e-04,"AGN",9.999046e-01,9.534624e-05
"2560","1336.2+2053","                  ",  6.078,"1.91e-14","2.08e-14","2.06e-14","204.066"," 20.8834","  3.932"," 7.8e+01","NVSS J133612+205102         ","bcu","                              ","",   0,"",0.004,"AGN",0.002,"AGN",0.000,"AGN",  4867.047,  -0.646,0.0006125403,"AGN",0.997632146,"PSR","AGN",9.999572e-01,4.278956e-05,"AGN",9.999878e-01,1.214005e-05
"2561","1336.5-4655","                  ",  5.105,"1.78e-13","2.20e-13","2.18e-13","204.138","-46.9283","310.889"," 1.5e+01","                            ","","                              ","",   4,"",0.144,"PSR",0.052,"AGN",0.068,"AGN",   584.038,   9.756,0.0084281471,"AGN",0.676103592,"PSR","AGN",9.920762e-01,7.923819e-03,"AGN",9.986224e-01,1.377638e-03
